,movies_titles,directeur,scenaristes,pays,vedettes,synopsis,notes,budget
336,Post Office 50 (of 169),"Simon Foster, Maryam Ghorbankarimi, Teddy Powell",Simon Foster,UK,Simon Foster,"The Post Office listed 169 local London Post Offices due for closure. This documentary is about how the people of Dockhead, in central London, feel about the possible closure of their local Post Office, listed as number 50 on the closure list.",8.1,N/A
337,Enemy at the Gates,Jean-Jacques Annaud,"Jean-Jacques Annaud, Alain Godard","Ireland, UK, France, Germany, USA","Jude Law, Ed Harris, Rachel Weisz, Joseph Fiennes","In World War II, the fall of Stalingrad will mean the collapse of the whole country. The Germans and Russians are fighting over every block, leaving only ruins behind. The Russian sniper Vassili Zaitsev stalks the Germans, taking them out one by one, thus hurting the morale of the German troops. The political officer Danilov leads him on, publishing his efforts to give his countrymen some hope. But Vassili eventually start to feel that he can not live up to the expectations on him. He and Danilov fall in love with the same girl, Tanya, a female soldier. From Germany comes the master sniper König to put an end to the extraordinary skilled Russian sniper.",7.6,"$50,507,533"
338,170 Hz,Joost van Ginkel,Joost van Ginkel,Netherlands,"Gaite Jansen, Michael Muller, Eva van Heijningen, Ariane Schluter","The Story: 170 Hz is a film about unconditional love and the freedom that goes with it. Nick and Evy are two adolescents who fall hopelessly in love with each other. Their love has no voice or sound as they are both deafmute. They have their own ways of communicating with each other, so while being in love already makes them stand apart from the rest of the world, in the splendid isolation of their soundless love they distance themselves from their surroundings even more. When they sense that their parents do not fully agree with them being together, they develop an audacious plan: they will flee and hide in a special place, where Evy will become pregnant and have a baby - they are convinced that once they have a child together nothing and nobody will be able to keep them apart. Nick takes the initiative and drives off with Evy to the hiding place he has meticulously prepared, the wreck of a former Soviet submarine in a distant part of the harbour. Within that metal casing full of sounds and tremors they cannot hear, but with their strongly developed remaining senses, can feel all the more. They concentrate on their baby project. But in that cage of happiness Evy slowly discovers that Nick had another reason to disappear.",6.2,N/A
339,Evolution,Ivan Reitman,"Don Jakoby (story), David Diamond (screenplay), David Weissman (screenplay), Don Jakoby (screenplay)",USA,"David Duchovny, Julianne Moore, Orlando Jones, Seann William Scott","When a meteorite falls to Earth two college professors, Dr. Ira Kane and Prof. Harry Phineas Block, are assigned the job of checking the site out. At the site, they discover organisms not of this planet. Soon the site is taken over by the government, forcing Ira and Harry to the side. As the new life-forms begin to evolve and start to get more and more dangerous, it's up to the two professors to save the planet.",6.1,"$37,571,347"
340,Hill 171,Romeo Montaya,N/A,Philippines,"Yusuf Salim, Robert Miller, Alfred Talby, George Camero",N/A,1.9,N/A
341,Exit Wounds,Andrzej Bartkowiak,"Ed Horowitz (screenplay), Richard D'Ovidio (screenplay), John Westermann (novel)","USA, Canada","Steven Seagal, DMX, Isaiah Washington, Anthony Anderson","Orin Boyd (Seagal) is a Detroit cop who doesn't follow rules. After he saved the Vice President by violating every order he received he is transferred to one of the worst precincts in the city. There he quickly encounters some corrupt cops selling heroin to drug dealers. The problem is, it's very difficult to tell who is the bad guy and who you can trust.",5.6,N/A
342,"Animated Weekly, No. 172",N/A,N/A,USA,"Josephus Daniels, George Wylie Paul Hunt, J. Warren Kerrigan, Esther Ross","Feast of Flowers: Marvelous floral display in allegorical parade by schoolgirls, Los Angeles, Cal. 300,000-ton Dynamite Blast: Mighty mass of rock rent asunder as if by magic in mammoth explosion, Chattanooga, Tenn. Universal ""Beauty Excursion:"" Pretty girls on S.S. ""Mandalay"" demonstrate dancing skill in contest for silver cups, Hudson River, N.Y. Summer Festival: Throngs witness picturesque pageant given by school children, Portland, Ore. Fatal Railroad Wreck: Steel cars save many, although three die, when miscreants derail Southern Flyer, Birmingham, Ala. Opening New Subway: Official welcome to first train in $10,000,000 underground railway, Brooklyn, N.Y. Mobilizing England's Women: Church Red Cross Brigade formed to make young women useful in aiding their country, London, England. Fire Costs Thousands: Spectacular night blaze as sawmill's destruction fills sky with lurid tongues of flame, Portland, Ore. Boy Scouts of America: Nearly two thousand youngsters give demonstration of their skill at annual rally, Harvard Stadium, Boston, Mass. Kerrigan Among the Roses: ""Universal"" film favorite receives tributes from choicest American Beauties, Universal City, Cal. ""Old Glory"" Forever: President Wilson lauds patriotism in Flag Day speech as huge silk flag is unfurled at nation's capital, Washington, D.C. Subtitles: Largest flag in the world, St. Louis, Mo. Scions of men who fought at Bunker Hill celebrate 140th anniversary of battle and honor memory of Nathan Hale at school where he taught, New London, Conn. Launching $14,000,000 Warship: ""Arizona,"" mightiest floating fortress of United States, christened with wine and water, Navy Yard, Brooklyn, N.Y. Subtitle: Miss Esther Ross, sponsor, Gov. Hunt of Arizona and Secretary of Navy Daniels. Cartoons by the world famous caricaturist, Hy Mayer of Puck.",N/A,N/A
343,E.T. the Extra-Terrestrial,Steven Spielberg,Melissa Mathison,USA,"Dee Wallace, Henry Thomas, Peter Coyote, Robert MacNaughton","After a gentle alien becomes stranded on Earth, the being is discovered and befriended by a young boy named Elliott. Bringing the extraterrestrial into his suburban California house, Elliott introduces E.T., as the alien is dubbed, to his brother and his little sister, Gertie, and the children decide to keep its existence a secret. Soon, however, E.T. falls ill, resulting in government intervention and a dire situation for both Elliott and the alien.",7.8,N/A
344,Building 173,"Petter Eldin, Charlotte Mikkelborg",Charlotte Mikkelborg,"China, Canada, USA",Charlotte Mikkelborg,"Building 173 takes viewers behind closed doors and into the rooms of 1 apartment building in downtown Shanghai to watch the stories of 7 families unfold over 3 generations. Our story follows the apartment building?s infamous owner and six of his tenants. Their stories of life, death and survival under one roof shed new light on China?s turbulent recent history.",7.9,N/A
345,Edward Scissorhands,Tim Burton,"Tim Burton (story), Caroline Thompson (story), Caroline Thompson (screenplay)",USA,"Johnny Depp, Winona Ryder, Dianne Wiest, Anthony Michael Hall","In a castle high on top of a hill lives an inventor's greatest creation - Edward, a near-complete person. The creator died before he could finish Edward's hands; instead, he is left with metal scissors for hands. Since then, he has lived alone, until a kind lady called Peg discovers him and welcomes him into her home. At first, everyone welcomes him into the community, but soon things begin to take a change for the worse.",7.9,N/A
346,Bus 174,"José Padilha, Felipe Lacerda(co-director)","Bráulio Mantovani, José Padilha",Brazil,"Anonymous, Maria Aparecida, Captain Batista, Luanna Belmon","Documentary depicts what happened in Rio de Janeiro on June 12th 2000, when bus 174 was taken by an armed young man, threatening to shoot all the passengers. Transmitted live on all Brazilian TV networks, this shocking and tragic-ending event became one of violence's most shocking portraits, and one of the scariest examples of police incompetence and abuse in recent years.",7.8,"$140,901"
347,Executive Decision,Stuart Baird,"Jim Thomas, John Thomas",USA,"Kurt Russell, Steven Seagal, Halle Berry, John Leguizamo","Terrorists take over a 747 bound from Athens to Washington D.C., supposedly to effect the release of their leader. Intelligence expert David Grant suspects another reason and convinces the military that the 'plane should not be allowed to enter U.S. airspace. An assault mission is devised, using a specially equipped 'plane designed for mid-air crew transfers, and Grant finds himself aboard the 747 with a team of military anti-terrorists who have to defuse a bomb and overpower the terrorists.",6.4,N/A
348,Paragraph 175,"Rob Epstein, Jeffrey Friedman",Sharon Wood,"UK, Germany, USA","Rupert Everett, Klaus Müller, Karl Gorath, Pierre Seel","By the 1920's, Berlin had become known as a homosexual eden, where gay men and lesbians lived relatively open lives amidst an exciting subculture of artists and intellectuals. With the coming to power of the Nazis, all this changed. Between 1933 and 1945 100,000 men were arrested for homosexuality under Paragraph 175, the sodomy provision of the German penal code dating back to 1871. Some were imprisoned, others were sent to concentration camps. Of the latter, only about 4,000 survived. Today, fewer than ten of these men are known to be living. Five of them have now come forward to tell their stories for the first time in this powerful new film. The Nazi persecution of homosexuals may be the last untold story of the Third Reich. Paragraph 175 fills a crucial gap in the historical record, and reveals the lasting consequences of this hidden chapter of 20th century history, as told through personal stories of men and women who lived through it: the half Jewish gay resistance fighter who spent the war helping refugees in Berlin; the Jewish lesbian who escaped to England with the help of a woman she had a crush on; the German Christian photographer who was arrested and imprisoned for homosexuality, then joined the army on his release because he ""wanted to be with men""; the French Alsatian teenager who watched as his lover was tortured and murdered in the camps. These are stories of survivors -- sometimes bitter, but just as often filled with irony and humor; tortured by their memories, yet infused with a powerful will to endure. Their moving testimonies, rendered with evocative images of their lives and times, tell a haunting, compelling story of human resilience in the face of unspeakable cruelty. Intimate in its portrayals, sweeping in its implications, Paragraph 175 raises provocative questions about memory, history, and identity.",7.7,N/A
349,Ever After: A Cinderella Story,Andy Tennant,"Susannah Grant (screenplay), Andy Tennant (screenplay), Rick Parks (screenplay)",USA,"Drew Barrymore, Anjelica Huston, Dougray Scott, Patrick Godfrey","With the sudden death of her loving father, Danielle is made a servant by her new stepmother. She also has two new stepsisters, one quite kind but the other one really horrid. Still, Danielle grows up to be a happy and strong-willed young lady, and one day her path crosses that of handsome Prince Henry, who has troubles of his own at home. Luckily the nice Leonardo da Vinci is on hand to help all round.",7.0,N/A
350,Pallati 176,Mevlan Shanaj,Adelina Balashi,Albania,"Eva Alikaj, Ilir Bezhani, Elida Janushi, Anastas Kristofori","English: A comedy by well-known Albanian theater. A comedy known and loved by all, under the interpretation of the most famous actors of the Albanian National Theatre. A comedy that provides only laughter. Albanian: Nje komedi nga Teatri Popullor Shqiptar. Komedia me e njohur dhe me e dashur për të gjithë, nën interpretimin e aktoreve më të njohur të Teatrit Kombëtar. Nje komedi qe siguron vetem te qeshura.",8.0,N/A
351,Edtv,Ron Howard,"Émile Gaudreault (screenplay ""Louis 19,  le roi des ondes""), Sylvie Bouchard (screenplay ""Louis 19,  le roi des ondes""), Lowell Ganz (screenplay), Babaloo Mandel (screenplay)",USA,"Geoffrey Blake, Gail Boggs, Jenna Byrne, Merrin Dungey","In a Hail Mary move for corporate preservation, the San Francisco based Northwest Broadcasting Corporation launches True TV, a new network which will broadcast the life of an Average Joe or Jane, 24/7 live and thus unedited, the subject chosen signed initially for one month. The project is conceived and led by one of the producers, Cynthia, but her boss, NWBC president Whitaker, will take the credit if it succeeds, and let her sink as the captain of the ship if it fails. The network is rebranded EdTV when Cynthia believes she's found her subject, Ed Pekurny, a native Texas hayseed, who fits the two main criteria that she is looking for in the person: he is easy on the eyes, and he has what seems to be a potential trainwreck of a life in that he he is thirty-one years old, spends most of his time hanging out at the bar, and has no ambition beyond his longtime dead end job as a clerk in a video store. Ed did not actively campaign for the job - his blowhard of a brother Ray was the one who played to the cameras when Cynthia's team was looking for subjects - but ultimately decided to do it after discussing it with those close to him, namely his immediately family of his mother, stepfather, and two siblings. After a slow start and despite some people associated with Ed hamming it up to the cameras in wanting their fifteen minutes of fame or more, Ed becomes enough of a toast to the TV watching public for the network to become a success. However, having the cameras rolling during certain times may not be the most advantageous for those directly involved, especially as someone from Ed's distant past reenters his life, and an issue with regard to Ray's relationship with his current girlfriend, a UPS delivery person named Shari who if Ed was being honest would admit that he is attracted to himself. Other issues that eventually do emerge is Ed and those around him using the cameras as a convenient excuse for things that happen, and as Whitaker, against Cynthia's wants as the moves being totally self-serving, begins to manipulate Ed to make EdTV more salacious TV viewing.",6.1,N/A
352,UFC 177: Dillashaw vs. Soto,N/A,N/A,N/A,"Shayna Baszler, Derek Brunson, Cain Carrizosa, Danny Castillo","In May of 2014, TJ Dillashaw shocked the world when he ended the 35-fight unbeaten streak of Renan Barao and took his UFC bantamweight crown.",6.8,N/A
353,Erin Brockovich,Steven Soderbergh,Susannah Grant,USA,"Julia Roberts, David Brisbin, Dawn Didawick, Albert Finney","Erin Brockovich-Ellis is an unemployed single mother, desperate to find a job, but is having no luck. This losing streak even extends to a failed lawsuit against a doctor in a car accident she was in. With no alternative, she successfully browbeats her lawyer to give her a job in compensation for the loss. While no one takes her seriously, with her trashy clothes and earthy manners, that soon changes when she begins to investigate a suspicious real estate case involving the Pacific Gas & Electric Company. What she discovers is that the company is trying quietly to buy land that was contaminated by hexavalent chromium, a deadly toxic waste that the company is improperly and illegally dumping and, in turn, poisoning the residents in the area. As she digs deeper, Erin finds herself leading point in a series of events that would involve her law firm in one of the biggest class action lawsuits in American history against a multi-billion dollar corporation.",7.3,N/A
354,Fiona Cooper DVD 178,Phil Sutcliffe,N/A,UK,"Stephanie Bews, Laura Turner",N/A,N/A,N/A
355,From Hell,"Albert Hughes, Allen Hughes","Alan Moore (graphic novel), Eddie Campbell (graphic novel), Terry Hayes (screenplay), Rafael Yglesias (screenplay)",USA,"Johnny Depp, Heather Graham, Ian Holm, Robbie Coltrane","It is 1888 in London, and the unfortunate poor lead horrifying lives in the city's deadliest slum, Whitechapel. Harassed by gangs and forced to walk the streets for a living, Mary Kelly and her small group of companions trudge on through this daily misery, their only consolation being that things can't get any worse. Yet things somehow do when their friend Ann is kidnapped and they are drawn into a conspiracy with links higher up than they could possibly imagine. The kidnapping is soon followed by the gruesome murder of another woman, Polly, and it becomes apparent that they are being hunted down, one by one. Sinister even by Whitechapel standards, the murder grabs the attention of Inspector Fred Abberline, a brilliant yet troubled man whose police work is often aided by his psychic abilities. Abberline becomes deeply involved with the case, which takes on personal meaning to him when he and Mary begin to fall in love. But as he gets closer to the truth Whitechapel becomes more and more dangerous for Abberline, Mary, and the other girls. Whoever is responsible for the grisly acts is not going to give up his secret without a fight....will they be able to survive the avenging force that has been sent after them from hell?",6.8,"$30,692,411"
356,UFC 179: Aldo vs. Mendes II,N/A,N/A,N/A,"Jose Aldo, Felipe Arantes, Yan Cabral, Fabricio Camoes","The awaited rematch between UFC featherweight champion Jose Aldo and No. 1 contender Chad Mendes will headline UFC 179 in Rio de Janeiro on Saturday, October 25th. Plus, a clash of light ...",N/A,N/A
357,Frailty,Bill Paxton,Brent Hanley,"USA, Germany, Italy","Bill Paxton, Matthew McConaughey, Powers Boothe, Matt O'Leary","FBI agent Wesley Doyle is startled by the spontaneous declaration of youngster Fenton Meiks about how his father's delusions to have a divine mission as avenging angel required him and his brother Adam to become his 'demon-slaying' murder accomplices. But when Doyle accepts to be shown concealed victim graves, the plot twists in the present just as gruesomely.",7.2,"$13,076,378"
358,180° South,Chris Malloy,"Jeff Johnson (journals), Chris Malloy (story), Rick Ridgeway (story), Zachary Slobig (story), Steven Barilotti (story)",USA,"Yvon Chouinard, Doug Tompkins, Keith Malloy, Alicia Salome Acuna Ika","Conquerors of the Useless follows Jeff Johnson as he retraces the epic 1968 journey of his heroes Yvon Chouinard and Doug Tompkins to Patagonia. Along the way he gets shipwrecked off Easter Island, surfs the longest wave of his life - and prepares himself for a rare ascent of Cerro Corcovado. Jeff's life turns when he meets up in a rainy hut with Chouinard and Tompkins who, once driven purely by a love of climbing and surfing, now value above all the experience of raw nature - and have come to Patagonia to spend their fortunes to protect it.",7.6,N/A
359,Eight Legged Freaks,Ellory Elkayem,"Ellory Elkayem (story), Randy Kornfield (story), Jesse Alexander (screenplay), Ellory Elkayem (screenplay)",USA,"David Arquette, Kari Wuhrer, Scott Terra, Scarlett Johansson","The residents of a rural mining town discover that an unfortunate chemical spill has caused hundreds of little spiders to mutate overnight to the size of SUVs. It's then up to mining engineer Chris McCormack and Sheriff Sam Parker to mobilize an eclectic group of townspeople, including the Sheriff's young son, Mike, her daughter, Ashley, and paranoid radio announcer Harlan, into battle against the bloodthirsty eight-legged beasts.",5.4,"$17,231,006"
360,Route 181: Fragments of a Journey in Palestine-Israel,"Michel Khleifi, Eyal Sivan","Michel Khleifi, Eyal Sivan","Belgium, France, Germany, UK","Michel Khleifi, Eyal Sivan",N/A,7.6,N/A
361,EuroTrip,"Jeff Schaffer, Alec Berg(co-director), David Mandel(co-director)","Alec Berg, David Mandel, Jeff Schaffer","USA, Czech Republic","Scott Mechlowicz, Jacob Pitts, Kristin Kreuk, Cathy Meils","Ohio high school student Scott Thomas is a good student and nice guy - albeit a little predictable - who is about to graduate and go into pre-med. He is unceremoniously dumped by his whorish girlfriend Fiona on graduation day. Among the people he turns to in his hour of despair is his German pen pal, Mike. Scott and Mike seem to have a special connection. After Mike makes advances to Scott now that he and Fiona are not seeing each other, Scott abruptly sends Mike a message saying he never wants to hear from him again. However, Scott learns shorty thereafter that Mike is actually a beautiful girl named Mieke. By this time, Mieke has blocked his messages. Thinking that Mieke is actually who he was meant to be with, Scott, impulsively for a change, decides to go to Berlin to be with her. Along for the ride is Scott's best friend, the girl crazy Cooper Harris. They manage only to get a flight into London, and thus have to make their way from London to Berlin. Along the way in Paris, they run into their high school friends, twins Jenny and Jamie, who are backpacking through Europe. Scott and Cooper consider them the most mismatched twins ever, Jamie who is a walking encyclopedia, and Jenny a girl who they treat as just one of the guys. As the four try to make their way to Berlin, they run into a few obstacles and few adventures. Scott hopes that all these problems are worth it when he has his much hyped in his mind meeting with Mieke.",6.6,N/A
362,Turk 182,Bob Clark,"James Gregory Kingston (story by), James Gregory Kingston (screenplay by), Denis Hamill (screenplay by), John Hamill (screenplay by)",USA,"Timothy Hutton, Robert Urich, Kim Cattrall, Robert Culp","Jimmy Lynch is angry because his older brother, who was injured as a result of an off duty fire rescue, is denied benefits by the city. At the same time, Mayor Tyler is embroiled in a political scandal that he denies all previous knowledge of. Jimmy begins painting ""Tyler Knew, Turk 182"" as an embarrassment to the mayor. The mayor is furious at this grafitti appearing all over the city and orders the police to find the artist. Jimmy's ""Turk 182"" spraypaints continue to appear.",5.9,N/A
363,Evan Almighty,Tom Shadyac,"Steve Oedekerk (screenplay), Steve Oedekerk (story), Joel Cohen (story), Alec Sokolow (story), Steve Koren (characters), Mark O'Keefe (characters)",USA,"Steve Carell, Morgan Freeman, Lauren Graham, Johnny Simmons","Buffalo newsman Evan Baxter is elected to Congress with the slogan, ""Change the world."" He lucks into a huge house in a new Virginia suburb. His Capitol office is also fantastic, but there's a catch: he's tapped by the powerful Congressman Long to co-sponsor a bill to allow development in national parks. In steps God, who appears to a disbelieving Evan and gently commands him to build an ark. Tools and wood arrive in Evan's yard, animal pairs follow, his beard and hair grow wildly, nomad's clothes and a staff appear. Long grows impatient, Evan starts building, his family leaves him, reporters gather, and drought grips D.C. Still, Evan believes. But will he change the world?",5.4,"$100,289,690"
364,UFC 183: Silva vs. Diaz,N/A,N/A,N/A,"Thiago Alves, Tim Boetsch, Derek Brunson, Nick Diaz","After his brutal leg injury and a year layoff, Anderson Silva takes on former StrikeForce champion and Stockton bad boy Nick Diaz on Super Bowl weekend for a 5 round middle weight bout.",7.7,N/A
365,Enchanted,Kevin Lima,Bill Kelly,USA,"Amy Adams, Patrick Dempsey, James Marsden, Timothy Spall","The beautiful princess Giselle is banished by an evil queen from her magical, musical animated land and finds herself in the gritty reality of the streets of modern-day Manhattan. Shocked by this strange new environment that doesn't operate on a ""happily ever after"" basis, Giselle is now adrift in a chaotic world badly in need of enchantment. But when Giselle begins to fall in love with a charmingly flawed divorce lawyer who has come to her aid - even though she is already promised to a perfect fairy tale prince back home - she has to wonder: Can a storybook view of romance survive in the real world?",7.0,"$127,706,877"
366,Running the 184,Greg Lassik,N/A,USA,"Ryan Donnelly, Anthony Russo, Connie Gardner, Jeff Galloway","One man's journey to run across the entire state of New Jersey becomes a greater cause than he could ever imagine when more people join the run, and he inspires others to get off the couch and change their lives. Over the course of a year and a half, we filmed training sessions, interviews with elite ultramarathon runners and olympians. We then filmed the 184 mile run over the course of around 55 hours in the dead heat of late August. The runners all struggle and the in the end they inspire many people to get out and get healthy, including the filmmaker and his wife. Its a story about overcoming, inspiring and passion.",9.0,N/A
367,Extreme Movie,"Adam Jay Epstein, Andrew Jacobson","Adam Jay Epstein, Andrew Jacobson, Will Forte, John Solomon, Andy Samberg, Akiva Schaffer, Jorma Taccone, Erica Rivinoja, Phil Lord, Christopher Miller",USA,"Patrick J. Adams, Denise Boutte, Brian Burt, Michael Cera",A sketch comedy movie about the joys and embarrassments of teen sex. But mostly the embarrassments.,3.7,N/A
368,"Animated Weekly, No. 185",N/A,N/A,USA,N/A,N/A,N/A,N/A
369,Easy A,Will Gluck,Bert V. Royal,USA,"Emma Stone, Penn Badgley, Amanda Bynes, Dan Byrd","After a little white lie about losing her virginity gets out, a clean cut high school girl sees her life paralleling Hester Prynne's in ""The Scarlet Letter,"" which she is currently studying in school - until she decides to use the rumor mill to advance her social and financial standing.",7.1,"$58,401,464"
370,186 Kilometers,"Andres Maimik, Rain Tolk","Andres Maimik (screenplay), Rain Tolk (screenplay), Jan Uuspõld (original idea)",Estonia,"Tiina Vilu Demjanov, Jan Uuspõld, Allar Remma, Veke Ahtiainen","Everything is going wrong for the well-known comedian Jan Uuspõld - his girlfriend throws him out of their apartment, he's got no job and has pumped everyone he knows for money. So when an acquaintance offers him a role in a notable theatre production Jan is more than happy to take it. The only problem - the theatre where the play is staged lies in Tartu, on the other side of the country. With no money all Jan can do is hitchhike. Will he make it in time? And will he survive all those nuts whom he'll meet on his journey?",6.7,N/A
371,Full Metal Jacket,Stanley Kubrick,"Stanley Kubrick (screenplay by), Michael Herr (screenplay by), Gustav Hasford (screenplay by), Gustav Hasford (based on the novel ""The Short Timers"" by)","UK, USA","Matthew Modine, Adam Baldwin, Vincent D'Onofrio, R. Lee Ermey","A two-segment look at the effect of the military mindset and war itself on Vietnam era Marines. The first half follows a group of recruits in boot camp under the command of the punishing Gunnery Sergeant Hartman. The second half shows one of those recruits, Joker, covering the war as a correspondent for Stars and Stripes, focusing on the Tet offensive.",8.3,N/A
372,L.A. County 187,David Anspaugh,James Ellroy,USA,"Miguel Ferrer, Richard Bradford, Kevin Dunn, Sy Richardson","It's another night in L.A. County 187 for policeman Walter Drazin and his team, but when they find the corpses of an Asian family in a burned down club, arson and murder come to the fore. As Drazin investigates the guests of the club, the sordid truth about the city's underworld activities rears its ugly head.",5.6,N/A
373,Freddy's Dead: The Final Nightmare,Rachel Talalay,"Wes Craven (characters), Rachel Talalay (story), Michael De Luca (screenplay)",USA,"Robert Englund, Lisa Zane, Shon Greenblatt, Lezlie Deane","In part six of the Nightmare on Elm Street series, dream monster Freddy Krueger has finally killed all the children of his hometown, and seeks to escape its confines to hunt fresh prey. To this end, he recruits the aid of his (previously unmentioned) daughter. However, she discovers the demonic origin of her father's powers and meets Dad head-on in a final showdown (originally presented in 3-D).",4.9,N/A
374,,,,,,,,
375,Father Hood,Darrell Roodt,Scott Spencer,USA,"Patrick Swayze, Halle Berry, Sabrina Lloyd, Brian Bonsall",Adventures of a deadbeat dad who kidnaps his kids from the bus. Based on the true life stories and experiences of Michael J. Hardy.,4.9,N/A
376,Shinchô 189.5cm nihon ichi dekai AV joyû,Ryudai,N/A,Japan,Rua Tôjô,N/A,N/A,N/A
377,Friday,F. Gary Gray,"Ice Cube, DJ Pooh",USA,"Ice Cube, Chris Tucker, Nia Long, Tommy 'Tiny' Lister","It is Friday and Craig Jones (Ice Cube) is unemployed, having, yesterday, been fired. He is lounging around his house with his friend Smokey (Chris Tucker), a rather incompetent weed dealer. Smokey's problem is that he tends to smoke, rather than sell, his product. This has lead to trouble with Smokey's supplier, Big Worm, who now wants his money, or his product back, or Smokey is a dead man. Then there's Deebo, the local bully, plus Craig's jealous, psychotic girlfriend, Joi, and Debbie, the neighbour Craig has a crush on. A lot can happen while lounging around your house on a Friday.",7.3,N/A
378,190 Tv,N/A,N/A,Brazil,N/A,"Every day, thousands of people call the police help at 190. See how the work of the Military Police of Brazil to curb street crime.",9.0,
379,Fear,James Foley,Christopher Crowe,"USA, Canada","Mark Wahlberg, Reese Witherspoon, William Petersen, Amy Brenneman","Nicole walker is the average 16 year old girl; wants to have fun, and dreams of her Prince Charming. When her and her best friend Margot appear at a party, she meets older bad boy David. Everything seems to be going so well and Nicole and David become a couple. Nicole's family like David and she decides she loves him enough to give herself to him one night after a date. However, as soon as they became official, David has become a possessive and jealous boyfriend. He even beats up one of Nicole's close male friends when he is seen giving her a hug at the end of school. After this dark event Nicole never wants to see David again but he tries his hardest to make sure Nicole will take him back. Soon enough she forgives him and things seem to be going well again until a sick situation involving Nicole's best friend Margot turns to her and David breaking up again. This time David is not taking any chances with not being with Nicole so him and his friends go into her family home and attempt to take Nicole. Will David get Nicole or will she and her family hold back and get rid of David's sick craving for Nicole?",6.3,N/A
380,The Crash of Flight 191,Lee Fulkerson,Lee Fulkerson,USA,"David Jeremiah, Gregory Feith, Peter Greenberg",The investigation into the May 25 1979 crash of American Airlines Flight 191 DC-10 just after takeoff at Chicago O'Hare airport.,8.5,N/A
381,K-PAX,Iain Softley,"Gene Brewer (novel), Charles Leavitt (screenplay)","USA, Germany","Kevin Spacey, Jeff Bridges, Mary McCormack, Alfre Woodard","PROT is a patient at a mental hospital who claims to be from a far away planet named K PAX. His psychiatrist tries to help him, only to begin to doubt his own explanations.",7.4,"$50,040,205"
382,UFC 192: Cormier vs. Gustafsson,N/A,N/A,USA,"Ryan Bader, Ali Bagautinov, Joseph Benavidez, Daniel Cormier","UFC light heavyweight champion Daniel Cormier will make his first title defense on Saturday, October 3rd when he battles No. 2 contender Alexander ""The Mauler"" Gustafsson in the main event of UFC 192 in Houston, Texas. Former United States Olympian Cormier struck gold in UFC in May, when he submitted Anthony Johnson to win the vacant 205-pound world title. Now he will meet Sweden's Gustafsson, a former title challenger who nearly lifted the crown from Jon Jones in their 2013 classic.",7.3,N/A
383,Fear and Loathing in Las Vegas,Terry Gilliam,"Hunter S. Thompson (book), Terry Gilliam (screenplay), Tony Grisoni (screenplay), Tod Davies (screenplay), Alex Cox (screenplay)",USA,"Johnny Depp, Benicio Del Toro, Tobey Maguire, Michael Lee Gogin","The big-screen version of Hunter S. Thompson's seminal psychedelic classic about his road trip across Western America as he and his large Samoan lawyer searched desperately for the ""American dream""... they were helped in large part by the huge amount of drugs and alcohol kept in their convertible, The Red Shark.",7.6,N/A
384,UFC 193: Rousey vs. Holm,Neil Huxley,N/A,N/A,"Bruce Buffer, Uriah Hall, Holly Holm, Mark Hunt","Ronda ""Rowdy"" Rousey (12-0 MMA, 6-0 UFC) ventures to ""The Land Down Under"" for a 135-pound championship matchup against Holly Holm (9-0 MMA, 2-0 UFC) in what will be just the fifth title-fight meeting in UFC history between two undefeated combatants.",8.3,N/A
385,Flawless,Michael Radford,Edward Anderson,"UK, Luxembourg","Demi Moore, Michael Caine, Lambert Wilson, Nathaniel Parker","London, 1960. Laura Quinn is the lone female executive at London Diamond Corporation. She is frustrated as her talents are rarely acknowledged and her less-experienced male co-workers are promoted ahead of her. She is shocked, but intrigued, when the mild-mannered night janitor, Mr. Hobbs, approaches her with a daring but simple plan to steal a handful of diamonds from the vault. Laura agrees to help, but she is soon in over her head. And it is not long before insurance investigator Mr. Finch has his eyes on her.",6.8,"$1,146,525"
386,"194. Us, Children of the Camp",Samer Salameh,N/A,Syria,N/A,N/A,N/A,N/A
387,Fight Club,David Fincher,"Chuck Palahniuk (novel), Jim Uhls (screenplay)","USA, Germany","Edward Norton, Brad Pitt, Meat Loaf, Zach Grenier","A nameless first person narrator (Edward Norton) attends support groups in attempt to subdue his emotional state and relieve his insomniac state. When he meets Marla (Helena Bonham Carter), another fake attendee of support groups, his life seems to become a little more bearable. However when he associates himself with Tyler (Brad Pitt) he is dragged into an underground fight club and soap making scheme. Together the two men spiral out of control and engage in competitive rivalry for love and power. When the narrator is exposed to the hidden agenda of Tyler's fight club, he must accept the awful truth that Tyler may not be who he says he is.",8.8,N/A
388,"13, 195, 6 und 1",Terry Rice,N/A,USA,"Terry Rice, Destiny Bennett, Doug Stanhope, Shiloh Lindsey",A chilling look into the last thirteen days of one man's existence.,8.0,N/A
389,Final Destination,James Wong,"Glen Morgan (screenplay), James Wong (screenplay), Jeffrey Reddick (screenplay), Jeffrey Reddick (story)",USA,"Devon Sawa, Ali Larter, Kerr Smith, Kristen Cloke","Alex is boarding his plane to France on a school trip, when he suddenly gets a premonition that the plane will explode. When Alex and a group of students are thrown off the plane, to their horror, the plane does in fact explode. Alex must now work out Death's plan, as each of the surviving students falls victim. Whilst preventing the worst from happening, Alex must also dodge the FBI, which believes Alex caused the explosion.",6.7,N/A
