,movies_titles,directeur,scenaristes,pays,vedettes,synopsis,notes,budget
157,The Duke,Philip Spink,"Craig Detweiler (story), Craig Detweiler (screenplay), Anne Vince (screenplay), Robert Vince (screenplay)","UK, Canada","John Neville, James Doohan, Courtnee Draper, Jeremy Maxwell","When his nephew tries to wrest control of his estate from him,the Duke of Dingwall removes the boy from his will and leaves everything to his dog",4.4,N/A
158,No Time to Die,King Ampaw,"King Ampaw, Klaus Bädekerl","Germany, Ghana","Fritz Baffour, Kofi Bucknor, Agnes Dapaa, David Dontoh","Asante, a hearse driver in Ghana, wants a wife. His profession puts most women off. He falls in love with a client whose mother has died, and manages to win her over. But her father forbids marriage to a hearse driver. Asante persists and becomes the first hearse driver in Accra to get married.",7.6,N/A
159,Remember Me,Allen Coulter,Will Fetters,USA,"Caitlyn Rund, Moisés Acevedo, Noel Rodriguez, Kevin P. McCarthy","A romantic drama set in New York City during the summer of 2001, where Tyler, a rebellious young man, meets Ally through a twist of fate. Her spirit helps him heal after a family tragedy, though soon the circumstances that brought them together threaten to tear them apart.",7.1,"$18,242,661"
160,Love Spreads,Jamie Adams,Jamie Adams,N/A,"Alia Shawkat, Eiza González, Chanel Cresswell, Nick Helm","It is time to record the all important second album and Glass Heart is breaking in a million pieces. Away from touring and performing the band is not in harmony, and no amount of history in...",N/A,N/A
161,Deep Water,"Louise Osmond, Jerry Rothwell",N/A,UK,"Jean Badin, Simon Russell Beale, Clare Crowhurst, Donald Crowhurst",A documentary about the disastrous 1968 round-the-world yacht race.,7.8,N/A
162,Soul Surfer,Sean McNamara,"Sean McNamara (screenplay), Deborah Schwartz (screenplay), Douglas Schwartz (screenplay), Michael Berk (screenplay), Sean McNamara (screen story), Deborah Schwartz (screen story), Douglas Schwartz (screen story), Michael Berk (screen story), Matt Allen (screen story), Caleb Wilson (screen story), Brad Gann (screen story), Bethany Hamilton (book), Sheryl Berk (book), Rick Bundschuh (book)",USA,"AnnaSophia Robb, Helen Hunt, Dennis Quaid, Carrie Underwood","13 year-old Bethany Hamilton is a champion surfer who was born to be in the water. But after a fun night out night surfing and what should be a fun day in the water, she is attacked by a shark and loses her arm. Rushed to the hospital, she remains calm, and maintains her faith in God. Now she has to re-learn how to do everything with only one arm - including how to surf. It will take her friends, family, and her Christian faith to get her back into the water, but if that is where she is meant to be, she will find a way to get there.",7.0,"$43,853,424"
163,Happiest Season,Clea DuVall,"Clea DuVall, Mary Holland",USA,"Alison Brie, Dan Levy, Kristen Stewart, Mackenzie Davis",A young woman with a plan to propose to her girlfriend while at her family's annual holiday party discovers her partner hasn't yet come out to her conservative parents.,N/A,N/A
164,Another Round,Bob Degus,"Gregg Bryan Goldman, Michele McGuire",USA,"Michael Beach, Wendy Bowers, Brett Cullen, Nada Despotovich","On Valentine's Day, a cocktail waitress lets her romantic daydreams dominate her.",4.2,N/A
165,Spider-Man 4: Fan Film,"Cheyanne Beatty, Erik Franklin, Joanne Hier","Steve Ditko (comic book), Bryn Clayton Jones (Screen Play), Bryn Clayton Jones (Story), William McCarthy (Screenplay), Harley Pettus (Story)",USA,"Bryn Clayton Jones, Leona Britt, Tommy Lee Driver, Alice Bridgforth",Spider-Man returns to face his greatest challenge yet as he faces off against The Vulture.,N/A,N/A
166,Beautiful Monster,Karlton Parris,Karlton Parris,UK,"Charlie Price, Steven Arnold, Laura Ellen Wilson, Billy Mansell","Victorian England 1851. Florence Shelley, the child of poet Percy and Mary Shelley, is hosting a lavish event, determined to prove the theory of reanimation, the corner stone of his ...",N/A,N/A
167,The Obscure Life of the Grand Duke of Corsica,Daniel Graham,Daniel Graham,UK,"Timothy Spall, Peter Stormare, Matt Hookings, Alicia Agneson","As a deadly epidemic sweeps Malta, a brilliant architect accepts an unusual commission from an eccentric billionaire who calls himself 'The Grand Duke of Corsica'. A state of emergency is declared but Alfred Rott remains to finish the job.",N/A,N/A
168,,,,,,,,
169,Free Guy,Shawn Levy,"Matt Lieberman (screenplay by), Matt Lieberman (story by), Zak Penn (screenplay by)",USA,"Jodie Comer, Taika Waititi, Ryan Reynolds, Joe Keery","A bank teller discovers that he's actually an NPC inside a brutal, open world video game.",N/A,N/A
170,Peter Rabbit 2: The Runaway,Will Gluck,"Beatrix Potter (based on the characters and tales of ""Peter Rabbit"" by), Will Gluck (screenplay), Patrick Burleigh (screenplay by)","Australia, India, USA, UK, Canada","James Corden, Elizabeth Debicki, Lennie James, Margot Robbie","Thomas and Bea are now married and living with Peter and his rabbit family. Bored of life in the garden, Peter goes to the big city, where he meets shady characters and ends up creating chaos for the whole family.",N/A,N/A
171,Clifford the Big Red Dog,N/A,N/A,"UK, USA","John Ritter, Grey Griffin, Cree Summer, Kel Mitchell",The adventures of a larger-than-life red dog on Bridwell Island.,6.6,
172,Dune,David Lynch,"Frank Herbert (novel), David Lynch (screenplay)","USA, Mexico","Francesca Annis, Leonardo Cimino, Brad Dourif, José Ferrer","In the far future, a duke and his family are sent by the Emperor to a sand world from which comes a spice that is essential for interstellar travel. The move is designed to destroy the duke and his family, but his son escapes and seeks revenge as he uses the world's ecology as one of his weapons.",6.5,N/A
173,West Side Story,"Jerome Robbins, Robert Wise","Ernest Lehman (screenplay), Arthur Laurents (book), Jerome Robbins (play)",USA,"Natalie Wood, Richard Beymer, Russ Tamblyn, Rita Moreno","West Side Story is the award-winning adaptation of the classic romantic tragedy, ""Romeo and Juliet"". The feuding families become two warring New York City gangs- the white Jets led by Riff and the Puerto Rican Sharks, led by Bernardo. Their hatred escalates to a point where neither can coexist with any form of understanding. But when Riff's best friend (and former Jet) Tony and Bernardo's younger sister Maria meet at a dance, no one can do anything to stop their love. Maria and Tony begin meeting in secret, planning to run away. Then the Sharks and Jets plan a rumble under the highway - whoever wins gains control of the streets. Maria sends Tony to stop it, hoping it can end the violence. It goes terribly wrong, and before the lovers know what's happened, tragedy strikes and doesn't stop until the climactic and heartbreaking ending.",7.5,N/A
174,Coming 2 America,Craig Brewer,"Kenya Barris (screenplay), Barry W. Blaustein (earlier screenplay), Eddie Murphy (characters), David Sheffield (earlier screenplay)",USA,"Eddie Murphy, Arsenio Hall, Jermaine Fowler, Leslie Jones",Akeem learns he has a long-lost son in the United States and must return to America to meet the unlikely heir to the throne of Zamunda. A sequel to the 1988 comedy 'Coming to America'.,N/A,N/A
175,Top Gun: Maverick,Joseph Kosinski,"Ehren Kruger (screenplay by), Eric Warren Singer (screenplay by), Christopher McQuarrie (screenplay by), Peter Craig (story by), Justin Marks (story by), Jim Cash (based on characters created by), Jack Epps Jr. (based on characters created by)","USA, China","Jennifer Connelly, Tom Cruise, Val Kilmer, Jon Hamm","After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him.",N/A,N/A
176,Blithe Spirit,David Lean,"David Lean (adapted for the screen by), Ronald Neame (adapted for the screen by), Anthony Havelock-Allan (adapted for the screen by)",UK,"Rex Harrison, Constance Cummings, Kay Hammond, Margaret Rutherford","To get background for a new book, author Charles and his second wife Ruth light-heartedly arrange for local mystic Madame Arcati to give a séance. The unfortunate result is that Charles' first wife Elvira returns from beyond the grave to make his life something of a misery. Ruth too gets increasingly irritated with her supernatural rival, but M.Arcati is at her wit's end as to how to sort things out.",7.1,N/A
177,Justice League Extinction,Chris Hampshire,Chris Hampshire,UK,"Carey Thring, Stephen Finch, Mark Jeffries, Aimee Swift","A year has passed since the mother boxes were destroyed. Unaware to the Justice League, the boxes have released a power surge that has attracted the attention of their creator, Braniac.",N/A,N/A
178,News of the World,Paul Greengrass,"Luke Davies (adaptation), Paulette Jiles (based on the novel by)",USA,"Tom Hanks, Neil Sandilands, Chukwudi Iwuji, Helena Zengel","A Texan traveling across the wild West bringing the news of the world to local townspeople, agrees to help rescue a young girl who was kidnapped.",N/A,N/A
179,Bats: The Awakening,"Scott Jeffrey, Rebecca Matthews",Scott Jeffrey,UK,"Megan Purvis, Georgia Conlan, Amanda-Jade Tyler, Ricardo Freitas",N/A,N/A,N/A
180,The Last Duel,Yun Ling,Lung Ku (story),Taiwan,"Barry Chan, Yun Ling, Nora Miao, Peng Chang",N/A,4.1,N/A
181,Mortal Kombat,Paul W.S. Anderson,"Ed Boon (video games), John Tobias (video games), Kevin Droney",USA,"Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa","Based on the popular video game of the same name ""Mortal Kombat"" tells the story of an ancient tournament where the best of the best of different Realms fight each other. The goal - ten wins to be able to legally invade the losing Realm. Outworld has so far collected nine wins against Earthrealm, so it's up to Lord Rayden and his fighters to stop Outworld from reaching the final victory...",5.8,N/A
182,355,Simon Kinberg,Theresa Rebeck,USA,"Jessica Chastain, Lupita Nyong'o, Penélope Cruz, Diane Kruger",A spy thriller movie with a diverse female cast playing international agents.,N/A,N/A
183,Chaos Walking,Doug Liman,"Charlie Kaufman (screenplay by), Lindsey Beer (screenplay by), John Lee Hancock (screenplay by), Gary Spinelli (screenplay by), Patrick Ness (screenplay by), Patrick Ness (based on the novel by), Andrew Gottlieb, David Rosen",USA,"Daisy Ridley, Tom Holland, Cynthia Erivo, Mads Mikkelsen","In Prentisstown, Todd has been brought up to believe that the Spackle released a germ that killed all the women and unleashed Noise on the remaining men. After discovering a patch of silence out in the swamp, his surrogate parents immediately tell him that he has to run, leaving him with only a map of New World, a message, and many unanswered questions. He soon discovers the source of the silence: a girl, named Viola. The two must hurry to warn an incoming ship of settlers as Mayor Prentiss prepares an army for war.",N/A,N/A
184,Everybody's Talking About Jamie,Jonathan Butterell,"Dan Gillespie Sells (music), Tom MacRae",UK,"John McCrea, Josie Walker, Tamsin Carroll, Daniel Davids",Jamie is 16 and lives on a council estate in Sheffield. He doesn't quite fit in. He is terrified about the future. He is going to be a sensation. Supported by his brilliant loving mum and ...,8.9,N/A
185,The Croods 2,Joel Crawford,"Kirk DeMicco (creator), Dan Hageman (screenplay), Kevin Hageman (screenplay), Chris Sanders (creator)",USA,"Nicolas Cage, Ryan Reynolds, Emma Stone, Leslie Mann","The prehistoric family the Croods are challenged by a rival family the Bettermans, who claim to be better and more evolved.",N/A,N/A
186,Escape Room 2,Adam Robitel,"Fritz Böhm, Will Honley, Christine Lavaf, Maria Melnik, Bragi F. Schut, Daniel Tuch",USA,"Logan Miller, Isabelle Fuhrman, Thomas Cocquerel, Holland Roden",Plot Unknown.,N/A,N/A
187,Rumble,Jani Volanen,"Jari Nissinen (screenplay), Jari Nissinen (story), Jani Volanen (screenplay)",Finland,"Vesa-Matti Loiri, Jari Nissinen, Tommi Korpela, Jari Pehkonen",N/A,7.1,N/A
188,Cinderella,Kenneth Branagh,"Chris Weitz (screenplay by), Charles Perrault (story)","USA, UK","Cate Blanchett, Lily James, Richard Madden, Helena Bonham Carter","A girl named Ella (Cinderella) has the purest heart living in a cruel world filled with evil stepsisters and an evil stepmother out to ruin Ella's life. Ella comes one with her pure heart when she meets the prince and dances her way to a better life with glass shoes, and a little help from her fairy godmother, of course.",6.9,"$183,327,144"
189,Ghostbusters: Afterlife,Jason Reitman,"Gil Kenan, Jason Reitman, Dan Aykroyd (based on the 1984 film ""Ghostbusters"" an Ivan Reitman film written by), Harold Ramis (based on the 1984 film ""Ghostbusters"" an Ivan Reitman film written by)","USA, Canada","Finn Wolfhard, Carrie Coon, Sigourney Weaver, Bill Murray","When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",N/A,N/A
190,Tom and Jerry,N/A,"Joseph Barbera, William Hanna",N/A,N/A,A weekly Saturday (later Sunday) Morning repackaged compilation with new wraparounds featuring two Tom and Jerry cartoons sandwiching other MGM animated theatrical shorts.,8.7,
191,Morbius,Daniel Espinosa,"Matt Sazama (screenplay by), Burk Sharpless (screenplay by), Art Marcum (screenplay by), Matt Holloway (screenplay by), Matt Sazama (story by), Burk Sharpless (story by), Roy Thomas (based on the Marvel comics by), Gil Kane (based on the Marvel comics by)",USA,"Adria Arjona, Jared Leto, J.K. Simmons, Michael Keaton","Biochemist Michael Morbius tries to cure himself of a rare blood disease, but he inadvertently infects himself with a form of vampirism instead.",N/A,N/A
192,The Unbearable Weight of Massive Talent,N/A,N/A,N/A,N/A,N/A,N/A,N/A
193,The Boss Baby 2,Tom McGrath,Marla Frazee (characters),USA,"Alec Baldwin, James McGrath",No plot is currently known,N/A,N/A
194,F9,Justin Lin,"Daniel Casey (screenplay), Gary Scott Thompson (characters)",USA,"Charlize Theron, Vin Diesel, Jordana Brewster, Michelle Rodriguez","Cypher enlists the help of Jakob, Dom's younger brother to take revenge on Dom and his team.",N/A,N/A
195,Brighton,N/A,N/A,UK,N/A,N/A,N/A,N/A
196,Renegades,Jack Sholder,David Rich,USA,"Kiefer Sutherland, Lou Diamond Phillips, Jami Gertz, Robert Knepper","Buster McHenry works as an undercover agent for the local police. Currently he investigates on police corruption and is in big trouble. His task makes him break the law, he participates in a robbery. Things really screw up as not only two men are shot, but also an ancient indian spear is stolen and Buster is wounded. Hank Storm, a young indian, is now after the spear and Buster is after his criminal 'comrades'. Both of them are outsiders in their way, but now they have the same target.",5.4,N/A
197,Cruella,Craig Gillespie,"Aline Brosh McKenna, Jez Butterworth, Dana Fox (Writer), Kelly Marcel (screenplay by), Tony McNamara (screenplay), Steve Zissis (screenplay)",USA,"Emma Stone, Emma Thompson, Mark Strong, Paul Walter Hauser",A live-action prequel feature film following a young Cruella de Vil.,N/A,N/A
198,Plastic Toys,Paul Harrison,Paul Harrison,UK,"Daniel Eghan, Solomon Taiwo Justified, Jerry Anton, Marcus McMahon",In upstate New York bad-boy Jason and his wayward girlfriend Tanzy lead a life of hardcore clubbing and low level drug dealing. When Jason meets sexy bartender Babefist he becomes trapped in a dark underworld of mind-games and terror.,N/A,N/A
199,Jurassic World: Dominion,Colin Trevorrow,"Colin Trevorrow (screenplay by), Emily Carmichael (screenplay by), Derek Connolly (story by), Colin Trevorrow (story by), Michael Crichton (based on characters created by)",USA,"Bryce Dallas Howard, Chris Pratt, Sam Neill, Laura Dern",Plot kept under wraps.,N/A,N/A
200,Sonic the Hedgehog,Jeff Fowler,"Pat Casey, Josh Miller","USA, Japan, Canada","Ben Schwartz, James Marsden, Jim Carrey, Tika Sumpter","Dr. Eggman transports Sonic and friends to the real world, Station Square, where they must retrieve the Seven Chaos Emeralds before Eggman does, in order to stop the evil Doctor from unleashing an ancient water god of destruction onto the world, Chaos, from flooding over civilization, while trying to find a way back to their world.",6.6,N/A
201,Rambo: Last Blood,Adrian Grunberg,"Matthew Cirulnick (screenplay by), Sylvester Stallone (screenplay by), Dan Gordon (story by), Sylvester Stallone (story by), David Morrell (based on the character created by)","USA, Hong Kong, France, Bulgaria, Spain, Sweden","Sylvester Stallone, Paz Vega, Sergio Peris-Mencheta, Adriana Barraza",Rambo must confront his past and unearth his ruthless combat skills to exact revenge in a final mission.,6.2,N/A
202,We Summon the Darkness,Marc Meyers,Alan Trezza,"UK, USA, Canada","Alexandra Daddario, Keean Johnson, Maddie Hasson, Amy Forsyth","Three best friends embark on a road trip to a heavy-metal show, where they bond with three aspiring musicians and head off to one of the girls' country home for an after-party.",5.1,N/A
203,Skin,Guy Nattiv,Guy Nattiv,"USA, Canada, Brazil, China","Jamie Bell, Danielle Macdonald, Daniel Henshall, Bill Camp","A notorious skinhead falls in love with a woman and her three daughters, and undergoes painful treatments to remove the tattoos covering his entire face and body - physical representation of the hate he exhibited to the world for more than half his life.",7.0,N/A
204,Honeyland,"Tamara Kotevska, Ljubomir Stefanov","Tamara Kotevska, Ljubomir Stefanov",Republic of North Macedonia,"Hatidze Muratova, Nazife Muratova, Hussein Sam, Ljutvie Sam","The last female bee-hunter in Europe must save the bees and return the natural balance in Honeyland, when a family of nomadic beekeepers invade her land and threaten her livelihood.",8.0,N/A
205,Wild Rose,Tom Harper,Nicole Taylor,"UK, USA, Canada","Jessie Buckley, Matt Costello, Jane Patterson, Lesley Hart",A troubled young Glaswegian woman dreams of becoming a Nashville country star.,7.2,N/A
206,Get In,Olivier Abbou,"Olivier Abbou (screenplay), Aurélien Molas (screenplay), Aurélien Molas (story by)","France, Belgium","Adama Niane, Stéphane Caillard, Paul Hamy, Eddy Leduc","On their return from vacation, Paul and his family find their house occupied by disturbing squatters.",5.8,N/A
207,,,,,,,,
208,Don't. Get. Out!,Christian Alvart,"Christian Alvart (screenplay), Alberto Marini (adapted from a screenplay by)",Germany,"Wotan Wilke Möhring, Nora Huetz, Jasmina Al Zihairi, Christiane Paul","A loving father and husband is exorted by an unknown guy and he is about to lose his life, his money and his family.",5.8,N/A
209,Over the Limit,Marta Prus,Marta Prus,"Poland, Germany, Finland, France","Yana Kudryavtseva, Margarita Mamun, Irina Viner, Amina Zaripova",An intimate portrait of the world's most outstanding rhythmic gymnast Margarita Mamun who needs to overcome mental fragility to take part in the Olympic Games.,7.4,N/A
210,A Rainy Day in New York,Woody Allen,Woody Allen,USA,"Timothée Chalamet, Elle Fanning, Liev Schreiber, Suzanne Smith",A young couple arrives in New York for a weekend where they are met with bad weather and a series of adventures.,6.6,N/A
211,VFW,Joe Begos,"Max Brallier, Matthew McArdle",USA,"Stephen Lang, William Sadler, Fred Williamson, Martin Kove",A group of war veterans must defend their local VFW post and an innocent teen against a deranged drug dealer and his relentless army of punk mutants.,6.1,N/A
212,Ip Man 4: The Finale,Wilson Yip,"Tai-lee Chan (screenplay), Hiroshi Fukazawa, Lai-Yin Leung (screenplay), Edmond Wong","Hong Kong, China","Donnie Yen, Scott Adkins, Danny Kwok-Kwan Chan, Vanness Wu",The Kung Fu master travels to the U.S. where his student has upset the local martial arts community by opening a Wing Chun school.,7.1,N/A
213,The Courier,Hany Abu-Assad,"Brannon Coombs, Pete Dris",USA,"Jeffrey Dean Morgan, Josie Ho, Til Schweiger, Miguel Ferrer",A specialist carrier is hired to deliver a mysterious case to the underworld's most dangerous hitman.,4.5,N/A
214,Blinded by the Light,Gurinder Chadha,"Sarfraz Manzoor (screenplay by), Gurinder Chadha (screenplay by), Paul Mayeda Berges (screenplay by), Sarfraz Manzoor (based on the book ""Greetings from Bury Park - Race. Religion. Rock 'N' Roll."" by), Bruce Springsteen (inspired by the words and music of)","UK, USA, France","Billy Barratt, Ronak Singh Chadha Berges, Viveik Kalra, Lee Barnett","In England in 1987, a teenager from an Asian family learns to live his life, understand his family and find his own voice through the music of American rock star Bruce Springsteen.",6.9,N/A
215,Coma,Michael Crichton,"Michael Crichton (screenplay), Robin Cook (novel)",USA,"Geneviève Bujold, Michael Douglas, Elizabeth Ashley, Rip Torn","A young doctor at a hospital, Susan Wheeler (played by Geneviève Bujold), starts noticing a pattern of strange occurrences with patients. Healthy patients are suddenly developing complications and ending up in comas. She starts investigating and what she reveals is astonishing.",6.9,N/A
216,Strange But True,Rowan Athale,"Eric Garcia (screenplay by), John Searles (based on the novel by)",Canada,"Nick Robinson, Amy Ryan, Greg Kinnear, Brian Cox",A woman surprises the family of her deceased boyfriend by telling them she's pregnant with his child.,5.7,N/A
217,Poms,Zara Hayes,"Zara Hayes (story by), Shane Atkinson (story by), Shane Atkinson (screenplay by)","UK, USA, Canada","Diane Keaton, Jacki Weaver, Celia Weston, Alisha Boe","45 minutes outside of Phoenix lies a retirement community. A place where palm trees line the streets, the skies are always clear and the ""taxi"" (ambulance) drives by two or three times a day - a final destination for retirees. This is the story of America's first cheer-leading squad for women aged 60.",5.8,N/A
218,,,,,,,,
219,Tailgate,Jai Hogg,"Jarrad Brown, Dawn Chapman (script editor), Jai Hogg",Australia,"Sam Young, Peter Marshall, Damian Smith, Tony Hodgson","A young man awakens trapped in the boot of a car. Neither the driver nor the trapped man, Luke, seem to know why he is there.",7.8,N/A
220,Birdsong,N/A,N/A,UK,"Eddie Redmayne, Clémence Poésy, Matthew Goode, Rory Keenan","As an English soldier fights in the horrific trenches of northern France, he is haunted by the memories of his forbidden love affair with a French woman.",7.4,
221,Touch Me Not,Adina Pintilie,Adina Pintilie,"Romania, Germany, Czech Republic, Bulgaria, France","Laura Benson, Tómas Lemarquis, Christian Bayerlein, Grit Uhlemann","Together, a filmmaker and her characters venture into a personal research project about intimacy. On the fluid border between reality and fiction, Touch Me Not follows the emotional journeys of Laura, Tómas and Christian, offering a deeply empathic insight into their lives.",5.9,N/A
222,The Invisible Man,Leigh Whannell,"Leigh Whannell (screenplay), Leigh Whannell (screen story)","Australia, USA, Canada","Elisabeth Moss, Oliver Jackson-Cohen, Harriet Dyer, Aldis Hodge","When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",7.1,N/A
223,Waves,Trey Edward Shults,Trey Edward Shults,"USA, Canada","Taylor Russell, Kelvin Harrison Jr., Alexa Demie, Bill Wise","Traces the journey of a suburban family - led by a well-intentioned but domineering father - as they navigate love, forgiveness, and coming together in the aftermath of a loss.",7.6,N/A
224,Trauma Center,Matt Eskandari,Paul Da Silva,USA,"Nicky Whelan, Bruce Willis, Tito Ortiz, Texas Battle","Alone and trapped in a locked-down hospital, an injured young woman must escape a pair of vicious killers who are after the only piece of evidence that can implicate them in a grisly murder, the bullet in her leg.",4.7,N/A
225,Invasion,N/A,Shaun Cassidy,USA,"William Fichtner, Eddie Cibrian, Kari Matchett, Lisa Sheridan","In the aftermath of a hurricane, a Florida Park Ranger and his family deal with strange occurrences, including luminescent creatures in the water and people that somehow seem to have changed after surviving the night of the disaster out in the open.",7.5,
226,Ballon,Michael Herbig,"Kit Hopkins (screenplay), Thilo Röscheisen (screenplay), Michael Herbig (screenplay)",Germany,"Friedrich Mücke, Karoline Schuch, David Kross, Alicia von Rittberg",Balloon is a German thriller that deals with the crossing of the inner German border of the families Strelzyk and Wetzel from the GDR to West Germany with a homemade hot-air balloon.,7.5,N/A
227,Inmate Zero,Russell Owen,"Matthew J. Gunn (story/screenplay), Russell Owen (screenplay)",UK,"Meg Alexandra, Gabz Barker, Kate Bell, Raymond Bethley","When medical trials are pushed to their limits, the most extreme tests end up on St. Leonards Island in the north Atlantic - a re-purposed prison for some of the world's most violent ...",4.0,N/A
228,La Llorona,Jayro Bustamante,"Jayro Bustamante, Lisandro Sanchez (co writer)","Mexico, Guatemala","María Mercedes Coroy, Sabrina De La Hoz, Margarita Kenéfic, Julio Diaz","An aging paranoid dictator, protected by an witchcrafting wife, faces death and the uprise of his people in Guatemala.",6.9,N/A
229,The Shiny Shrimps,"Maxime Govare(co-director), Cédric Le Gallo(co-director)","Cédric Le Gallo (screenplay), Maxime Govare (screenplay), Cédric Le Gallo (original idea), Romain Choay (collaboration)",France,"Nicolas Gob, Alban Lenoir, Michaël Abiteboul, David Baïot","Matthias Le Goff, an Olympic champion, makes a homophobic statement on TV. His punishment: coach the Shiny Shrimps, an amateur gay water-polo team. They have only one thing in mind: to qualify for the Gay Games in Croatia.",6.5,N/A
230,The Good Girls,Alejandra Márquez Abella,"Guadalupe Loaeza (characters), Alejandra Márquez Abella",Mexico,"Ilse Salas, Flavio Medina, Cassandra Ciangherotti, Paulina Gaitan",A well-to-do socialite and her husband must wrestle with the impact of Mexico's 1982 economic crisis.,7.1,N/A
231,The Secret Mission,Yu-na Eom,Yu-na Eom,South Korea,"Hae-jin Yoo, Kye-Sang Yoon",Set in the 1940's when Korea was under Japanese occupation. Korean people were banned from speaking their own language during that time. Pan Soo has been imprisoned several times and it is ...,6.6,N/A
232,The Night Clerk,Michael Cristofer,Michael Cristofer,USA,"Tye Sheridan, Ana de Armas, Helen Hunt, John Leguizamo",Voyeuristic hotel clerk becomes the subject of a murder investigation.,5.2,N/A
233,Little Joe,Jessica Hausner,"Géraldine Bajard, Jessica Hausner","UK, Austria, Germany","Emily Beecham, Ben Whishaw, Kerry Fox, Kit Connor","Alice, a single mother, is a dedicated senior plant breeder at a corporation engaged in developing new species. Against company policy, she takes one home as a gift for her teenage son and names it after him but soon starts fearing it.",5.9,N/A
234,Killerman,Malik Bader,Malik Bader,USA,"Liam Hemsworth, Emory Cohen, Diane Guerrero, Zlatko Buric",Two friends launder money in NYC. They make a quick drug deal. Things go wrong as dirty cops are involved. One gets amnesia during escape with the drugs and money.,5.4,N/A
235,"The Gangster, the Cop, the Devil",Won-Tae Lee,"Won-Tae Lee (based on screenplay by), Won-Tae Lee (based on the film by), Won-Tae Lee","South Korea, USA","Dong-seok Ma, Kim Sungkyu, Mu-Yeol Kim, Bae-soo Jeon",A crime boss teams up with a cop to track down a serial killer.,6.9,N/A
236,Ride Like a Girl,Rachel Griffiths,"Andrew Knight (screenplay), Elise McCredie (screenplay)",Australia,"Teresa Palmer, Sam Neill, Sullivan Stapleton, Aaron Glenane","The story of Michelle Payne, the first female jockey to win the Melbourne Cup.",6.9,N/A
237,War,Philip G. Atwell,"Lee Anthony Smith, Gregory J. Bradley","USA, Canada","Jet Li, Jason Statham, John Lone, Devon Aoki","After his partner Tom Lone and family are killed apparently by the infamous and elusive assassin Rogue, FBI agent John Crawford becomes obsessed with revenge as his world unravels into a vortex of guilt and betrayal. Rogue eventually resurfaces to settle a score of his own, setting off a bloody crime war between Asian mob rivals Chang of the Triad's and Yakuza boss Shiro. When Jack and Rogue finally come face to face, the ultimate truth of their pasts will be revealed.",6.2,N/A
238,By the Grace of God,François Ozon,François Ozon (scenario),"France, Belgium","Melvil Poupaud, Denis Ménochet, Swann Arlaud, Éric Caravaca","The three men, friends of childhood, will cross, compare their personal experiences and question their life of couple, family and professional.",7.2,N/A
239,Britt-Marie Was Here,Tuva Novotny,"Anders Frithiof August, Fredrik Backman (novel), Øystein Karlsen, Tuva Novotny",Sweden,"Pernilla August, Lancelot Ncube, Vera Vitali, Peter Haber","Britt-Marie, 63 years old, has just left a 40 year old marriage and her long life as a house wife. Being told she is a nagging passive aggressive aunt, the new, only job, in small town Borg...",5.1,N/A
240,Cold Case Hammarskjöld,Mads Brügger,Mads Brügger,"Denmark, Norway, Sweden, Belgium","Mads Brügger, Clarinah Mfengu, Saphir Wenzi Mabanza, U Thant","Danish director Mads Brügger and Swedish private investigator Göran Björkdahl are trying to solve the mysterious death of Dag Hammarskjöld. As their investigation closes in, they discover a...",7.6,N/A
241,47 Meters Down: Uncaged,Johannes Roberts,"Ernest Riera, Johannes Roberts","UK, USA","Sophie Nélisse, Corinne Foxx, Brianne Tju, Sistine Rose Stallone",Four teen girls diving in a ruined underwater city quickly learn they've entered the territory of the deadliest shark species in the claustrophobic labyrinth of submerged caves.,5.0,N/A
242,Spread Your Wings,Nicolas Vanier,"Lilou Fogli (adaptation), Lilou Fogli (dialogue), Christian Moullec (screenplay), Matthieu Petit (screenplay), Nicolas Vanier (adaptation), Nicolas Vanier (dialogue)","France, Norway","Jean-Paul Rouve, Mélanie Doutey, Louis Vazquez, Frédéric Saurel","Based on the real story of Christian, a specialist on wild goose migrations, and the adventure he and his son embarked.",7.3,N/A
243,"Yes, God, Yes",Karen Maine,Karen Maine,USA,"Natalia Dyer, John Doherty, Joe Reece, Merissa Czyz",A good Catholic fifteen-year-old girl finds herself having tempting thoughts after an innocent AOL chat turns unexpectedly racy.,6.3,N/A
244,Leto,Kirill Serebrennikov,"Lily Idov, Michael Idov, Ivan Kapitonov, Natalya Naumenko (memoirs), Kirill Serebrennikov","Russia, France","Teo Yoo, Irina Starshenbaum, Roman Bilyk, Anton Adasinsky","A love triangle emerges around a rock and roll musician, his protege and his wife in 1980s Russia.",7.4,N/A
